,성별코드,가맹점업종명,시군구명,총결제금액
229,F,레저업소,안성시,6264600
230,F,레저업소,양주시,27665700
231,F,레저업소,양평군,15645200
232,F,레저업소,여주시,1355300
233,F,레저업소,연천군,3758500
234,F,레저업소,오산시,3328000
235,F,레저업소,용인시 기흥구,17398300
236,F,레저업소,용인시 수지구,11380000
237,F,레저업소,용인시 처인구,3228300
238,F,레저업소,의정부시,30168304
239,F,레저업소,이천시,6534500
240,F,레저업소,파주시,24624010
241,F,레저업소,하남시,86179407
242,F,레저업소,화성시,102806392
243,F,레져용품,가평군,306800
244,F,레져용품,고양시 덕양구,6410700
245,F,레져용품,고양시 일산동구,7193800
246,F,레져용품,고양시 일산서구,11278810
247,F,레져용품,과천시,2185000
248,F,레져용품,광명시,3650020
249,F,레져용품,광주시,465800
250,F,레져용품,구리시,1370100
251,F,레져용품,군포시,15740600
252,F,레져용품,남양주시,11083500
253,F,레져용품,동두천시,1380400
254,F,레져용품,부천시,38373100
255,F,레져용품,수원시 권선구,4741400
256,F,레져용품,수원시 영통구,1171800
257,F,레져용품,수원시 장안구,2119400
258,F,레져용품,수원시 팔달구,2996600
259,F,레져용품,안산시 단원구,8224600
260,F,레져용품,안산시 상록구,16260250
261,F,레져용품,안성시,580900
262,F,레져용품,양주시,3181600
263,F,레져용품,양평군,25943540
264,F,레져용품,여주시,834700
265,F,레져용품,연천군,9763330
266,F,레져용품,오산시,3762100
267,F,레져용품,용인시 기흥구,4012050
268,F,레져용품,용인시 수지구,2168935
269,F,레져용품,용인시 처인구,3373510
270,F,레져용품,의정부시,5477800
271,F,레져용품,이천시,2450200
272,F,레져용품,파주시,2371300
273,F,레져용품,하남시,20200292
274,F,레져용품,화성시,17239900
275,F,문화.취미,가평군,1651600
276,F,문화.취미,고양시 덕양구,9505090
277,F,문화.취미,고양시 일산동구,6766040
278,F,문화.취미,고양시 일산서구,6136200
279,F,문화.취미,과천시,1934400
280,F,문화.취미,광명시,6905710
281,F,문화.취미,광주시,1623380
282,F,문화.취미,구리시,1378100
283,F,문화.취미,군포시,17180700
284,F,문화.취미,남양주시,20754520
285,F,문화.취미,동두천시,760500
286,F,문화.취미,부천시,35258780
287,F,문화.취미,수원시 권선구,3760201
288,F,문화.취미,수원시 영통구,4411300
289,F,문화.취미,수원시 장안구,2749300
290,F,문화.취미,수원시 팔달구,5263800
291,F,문화.취미,안산시 단원구,6877500
292,F,문화.취미,안산시 상록구,6269240
293,F,문화.취미,안성시,1707620
294,F,문화.취미,양주시,10585870
295,F,문화.취미,양평군,16291770
296,F,문화.취미,여주시,1352500
297,F,문화.취미,연천군,4196250
298,F,문화.취미,오산시,2683950
299,F,문화.취미,용인시 기흥구,2115910
300,F,문화.취미,용인시 수지구,863500
301,F,문화.취미,용인시 처인구,3061980
302,F,문화.취미,의정부시,6310670
303,F,문화.취미,이천시,1754000
304,F,문화.취미,파주시,3697510
305,F,문화.취미,평택시,44000
306,F,문화.취미,하남시,12868920
307,F,문화.취미,화성시,14835780
308,F,병원,가평군,4000
309,F,병원,고양시 덕양구,31600
310,F,병원,고양시 일산동구,11500
311,F,병원,과천시,382000
312,F,병원,광명시,1958400
313,F,병원,광주시,1394000
314,F,병원,군포시,82804701
315,F,병원,남양주시,4677350
316,F,병원,동두천시,173800
317,F,병원,부천시,4628130
318,F,병원,수원시 장안구,515300
319,F,병원,수원시 팔달구,78200
320,F,병원,안산시 단원구,15635434
321,F,병원,안산시 상록구,7483924
322,F,병원,안성시,2783150
323,F,병원,양주시,42100
324,F,병원,양평군,33229780
325,F,병원,여주시,14100
326,F,병원,오산시,5761780
327,F,병원,용인시 기흥구,5503020
328,F,병원,용인시 수지구,9515000
329,F,병원,용인시 처인구,1215360
330,F,병원,이천시,9003650
331,F,병원,하남시,14662280
332,F,병원,화성시,5171010
333,F,보건위생,가평군,4909540
334,F,보건위생,고양시 덕양구,78166834
335,F,보건위생,고양시 일산동구,97965552
336,F,보건위생,고양시 일산서구,83540390
337,F,보건위생,과천시,31723820
338,F,보건위생,광명시,72396420
339,F,보건위생,광주시,14490420
340,F,보건위생,구리시,24729660
341,F,보건위생,군포시,182675148
342,F,보건위생,남양주시,81141950
343,F,보건위생,동두천시,11948020
344,F,보건위생,부천시,352978811
345,F,보건위생,수원시 권선구,32049240
346,F,보건위생,수원시 영통구,65060139
347,F,보건위생,수원시 장안구,35353040
348,F,보건위생,수원시 팔달구,35264970
349,F,보건위생,안산시 단원구,75091868
350,F,보건위생,안산시 상록구,41452000
351,F,보건위생,안성시,11460110
352,F,보건위생,안양시 동안구,160000
353,F,보건위생,양주시,63325802
354,F,보건위생,양평군,59156996
355,F,보건위생,여주시,6924100
356,F,보건위생,연천군,19347200
