년월,시도명,시군구명,성별코드,가맹점업종명,총결제금액
2019-04,경기도,군포시,F,병원,1538110
2019-04,경기도,군포시,F,건축자재,1662600
2019-04,경기도,군포시,F,레저업소,1676600
2019-04,경기도,군포시,F,연료판매점,2132425
2019-04,경기도,군포시,F,약국,2276020
2019-04,경기도,군포시,F,의류,3152200
2019-04,경기도,군포시,F,보건위생,5667800
2019-04,경기도,군포시,F,의원,6076705
2019-04,경기도,군포시,F,유통업 영리,9263708
2019-04,경기도,군포시,F,음료식품,9317260
2019-04,경기도,군포시,F,학원,10416600
2019-04,경기도,군포시,F,일반휴게음식,38531940
2019-04,경기도,군포시,M,가구,12000
2019-04,경기도,군포시,M,기타,57500
2019-04,경기도,군포시,M,광학제품,133600
2019-04,경기도,군포시,M,사무통신,151000
2019-04,경기도,군포시,M,용역 서비스,178135
2019-04,경기도,군포시,M,수리서비스,329740
2019-04,경기도,군포시,M,자동차정비 유지,372500
2019-04,경기도,군포시,M,문화.취미,417500
2019-04,경기도,군포시,M,기타의료기관,442140
2019-04,경기도,군포시,M,레져용품,489000
2019-04,경기도,군포시,M,유통업 비영리,622610
2019-04,경기도,군포시,M,신변잡화,655500
2019-04,경기도,군포시,M,건강식품,662000
2019-04,경기도,군포시,M,서적문구,910680
2019-04,경기도,군포시,M,의류,988900
2019-04,경기도,군포시,M,병원,1039050
2019-04,경기도,군포시,M,레저업소,1269401
2019-04,경기도,군포시,M,회원제형태,1272600
2019-04,경기도,군포시,M,건축자재,1763000
2019-04,경기도,군포시,M,연료판매점,2078792
2019-04,경기도,군포시,M,약국,2115950
2019-04,경기도,군포시,M,보건위생,2718400
2019-04,경기도,군포시,M,의원,3728572
2019-04,경기도,군포시,M,음료식품,6412050
2019-04,경기도,군포시,M,유통업 영리,6617630
2019-04,경기도,군포시,M,학원,8829000
2019-04,경기도,군포시,M,일반휴게음식,32700600
2019-04,경기도,남양주시,F,용역 서비스,1200
2019-04,경기도,남양주시,F,농업,13000
2019-04,경기도,남양주시,F,자동차정비 유지,15000
2019-04,경기도,남양주시,F,레저업소,43500
2019-04,경기도,남양주시,F,신변잡화,52500
2019-04,경기도,남양주시,F,서적문구,62000
2019-04,경기도,남양주시,F,주방용구,150000
2019-04,경기도,남양주시,F,약국,178800
2019-04,경기도,남양주시,F,문화.취미,203000
2019-04,경기도,남양주시,F,레져용품,212000
2019-04,경기도,남양주시,F,의원,245000
2019-04,경기도,남양주시,F,보건위생,313500
2019-04,경기도,남양주시,F,수리서비스,348020
2019-04,경기도,남양주시,F,전기제품,437000
2019-04,경기도,남양주시,F,회원제형태,500000
2019-04,경기도,남양주시,F,의류,546400
2019-04,경기도,남양주시,F,음료식품,736210
2019-04,경기도,남양주시,F,유통업 영리,797150
2019-04,경기도,남양주시,F,학원,3287000
2019-04,경기도,남양주시,F,일반휴게음식,5319050
2019-04,경기도,남양주시,M,기타의료기관,500
2019-04,경기도,남양주시,M,건축자재,3800
2019-04,경기도,남양주시,M,가구,9000
2019-04,경기도,남양주시,M,회원제형태,12900
2019-04,경기도,남양주시,M,레져용품,15000
2019-04,경기도,남양주시,M,서적문구,25660
2019-04,경기도,남양주시,M,문화.취미,42000
2019-04,경기도,남양주시,M,수리서비스,52640
2019-04,경기도,남양주시,M,전기제품,58000
2019-04,경기도,남양주시,M,주방용구,80000
2019-04,경기도,남양주시,M,신변잡화,102550
2019-04,경기도,남양주시,M,약국,106740
2019-04,경기도,남양주시,M,레저업소,285500
2019-04,경기도,남양주시,M,보건위생,415000
2019-04,경기도,남양주시,M,의원,494600
2019-04,경기도,남양주시,M,자동차정비 유지,728600
2019-04,경기도,남양주시,M,유통업 영리,903230
2019-04,경기도,남양주시,M,학원,980000
2019-04,경기도,남양주시,M,음료식품,1267298
2019-04,경기도,남양주시,M,일반휴게음식,8842180
2019-04,경기도,동두천시,F,주방용구,7100
2019-04,경기도,동두천시,F,병원,8800
2019-04,경기도,동두천시,F,광학제품,15000
2019-04,경기도,동두천시,F,숙박업,20000
2019-04,경기도,동두천시,F,전기제품,25000
2019-04,경기도,동두천시,F,문화.취미,40000
2019-04,경기도,동두천시,F,수리서비스,73670
2019-04,경기도,동두천시,F,레저업소,101600
2019-04,경기도,동두천시,F,레져용품,203500
2019-04,경기도,동두천시,F,농업,206000
2019-04,경기도,동두천시,F,의원,210800
2019-04,경기도,동두천시,F,서적문구,266100
2019-04,경기도,동두천시,F,연료판매점,304000
2019-04,경기도,동두천시,F,약국,318500
2019-04,경기도,동두천시,F,회원제형태,380000
2019-04,경기도,동두천시,F,신변잡화,701600
2019-04,경기도,동두천시,F,보건위생,770700
2019-04,경기도,동두천시,F,학원,849000
2019-04,경기도,동두천시,F,의류,1303700
2019-04,경기도,동두천시,F,유통업 영리,1355470
2019-04,경기도,동두천시,F,음료식품,1796990
2019-04,경기도,동두천시,F,일반휴게음식,6446480
2019-04,경기도,동두천시,M,건축자재,4000
2019-04,경기도,동두천시,M,자동차정비 유지,10000
2019-04,경기도,동두천시,M,레져용품,10000
2019-04,경기도,동두천시,M,광학제품,12000
2019-04,경기도,동두천시,M,약국,17700
2019-04,경기도,동두천시,M,의원,39100
2019-04,경기도,동두천시,M,수리서비스,62360
2019-04,경기도,동두천시,M,농업,63700
2019-04,경기도,동두천시,M,서적문구,134700
2019-04,경기도,동두천시,M,의류,167000
2019-04,경기도,동두천시,M,레저업소,215000
2019-04,경기도,동두천시,M,회원제형태,250000
2019-04,경기도,동두천시,M,보건위생,443000
2019-04,경기도,동두천시,M,음료식품,612480
2019-04,경기도,동두천시,M,유통업 영리,637630
2019-04,경기도,동두천시,M,학원,780000
2019-04,경기도,동두천시,M,일반휴게음식,3385000
2019-04,경기도,부천시,F,광학제품,22000
2019-04,경기도,부천시,F,주방용구,24000
2019-04,경기도,부천시,F,사무통신,30750
2019-04,경기도,부천시,F,가구,50000
2019-04,경기도,부천시,F,숙박업,70000
2019-04,경기도,부천시,F,기타,99000
2019-04,경기도,부천시,F,자동차정비 유지,118380
2019-04,경기도,부천시,F,전기제품,156750
2019-04,경기도,부천시,F,용역 서비스,215000
2019-04,경기도,부천시,F,직물,215000
2019-04,경기도,부천시,F,건강식품,289000
2019-04,경기도,부천시,F,서적문구,340600
2019-04,경기도,부천시,F,신변잡화,1037510
2019-04,경기도,부천시,F,수리서비스,1216050
2019-04,경기도,부천시,F,의류,1420340
2019-04,경기도,부천시,F,레져용품,1499400
2019-04,경기도,부천시,F,기타의료기관,1663800
2019-04,경기도,부천시,F,약국,1701680
2019-04,경기도,부천시,F,레저업소,1830800
2019-04,경기도,부천시,F,문화.취미,1832300
2019-04,경기도,부천시,F,회원제형태,2670500
2019-04,경기도,부천시,F,의원,5589560
2019-04,경기도,부천시,F,보건위생,6946560
2019-04,경기도,부천시,F,유통업 영리,11848930
2019-04,경기도,부천시,F,학원,14115300
2019-04,경기도,부천시,F,음료식품,16286960
2019-04,경기도,부천시,F,일반휴게음식,32087414
2019-04,경기도,부천시,M,숙박업,1000
2019-04,경기도,부천시,M,유통업 비영리,1800
2019-04,경기도,부천시,M,기타,16500
2019-04,경기도,부천시,M,전기제품,58400
2019-04,경기도,부천시,M,사무통신,70800
2019-04,경기도,부천시,M,광학제품,74000
2019-04,경기도,부천시,M,건강식품,84000
2019-04,경기도,부천시,M,용역 서비스,437300
2019-04,경기도,부천시,M,신변잡화,452790
2019-04,경기도,부천시,M,직물,483000
2019-04,경기도,부천시,M,서적문구,486200
